chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 2.823283646397052e-07 2.022340266520091e+00
0.000000000000000e+00 1.562500000000000e-02 2.816882835471095e-07 1.976446870957264e+00
0.000000000000000e+00 3.125000000000000e-02 2.797098116728892e-07 1.841133888264161e+00
0.000000000000000e+00 4.687500000000000e-02 2.762432089484500e-07 1.623054646437940e+00
0.000000000000000e+00 6.250000000000000e-02 2.711090607243896e-07 1.331989870065277e+00
0.000000000000000e+00 7.812500000000000e-02 2.641659754318352e-07 9.794090399577979e-01
0.000000000000000e+00 9.375000000000000e-02 2.553539223780040e-07 5.771641313013040e-01
0.000000000000000e+00 1.093750000000000e-01 2.447012202986055e-07 1.365305863420715e-01
0.000000000000000e+00 1.250000000000000e-01 2.323059558593170e-07 -3.323919530063946e-01
0.000000000000000e+00 1.406250000000000e-01 2.183148352076961e-07 -8.210080696300032e-01
0.000000000000000e+00 1.562500000000000e-01 2.029177296803932e-07 -1.322376656951375e+00
0.000000000000000e+00 1.718750000000000e-01 1.863604178284951e-07 -1.831238832941582e+00
0.000000000000000e+00 1.875000000000000e-01 1.689635443574819e-07 -2.343952317901747e+00
0.000000000000000e+00 2.031250000000000e-01 1.511313983436909e-07 -2.858354246515457e+00
0.000000000000000e+00 2.187500000000000e-01 1.333399249818542e-07 -3.373574194891113e+00
0.000000000000000e+00 2.343750000000000e-01 1.161034628716778e-07 -3.889807723425005e+00
0.000000000000000e+00 2.500000000000000e-01 9.992768993911474e-08 -4.408029721438838e+00
0.000000000000000e+00 2.656250000000000e-01 8.525907776105191e-08 -4.929579162620591e+00
0.000000000000000e+00 2.812500000000000e-01 7.243924959171805e-08 -5.455503550474752e+00
0.000000000000000e+00 2.968750000000000e-01 6.166879228774730e-08 -5.985577393798980e+00
0.000000000000000e+00 3.125000000000000e-01 5.298326361264937e-08 -6.517126465029098e+00
0.000000000000000e+00 3.281250000000000e-01 4.624739174370860e-08 -7.044240589043128e+00
0.000000000000000e+00 3.437500000000000e-01 4.117844432225928e-08 -7.558247772913015e+00
0.000000000000000e+00 3.593750000000000e-01 3.740426123976967e-08 -8.049697514870200e+00
0.000000000000000e+00 3.750000000000000e-01 3.454043921283679e-08 -8.510762615002559e+00
0.000000000000000e+00 3.906250000000000e-01 3.225509618194900e-08 -8.936560678816686e+00
0.000000000000000e+00 4.062500000000000e-01 3.029974984151195e-08 -9.325004862524253e+00
0.000000000000000e+00 4.218750000000000e-01 2.850865842754840e-08 -9.675892821518136e+00
0.000000000000000e+00 4.375000000000000e-01 2.678195319230192e-08 -9.990008434306009e+00
0.000000000000000e+00 4.531250000000000e-01 2.506597489672433e-08 -1.026855040051792e+01
0.000000000000000e+00 4.687500000000000e-01 2.333720671590782e-08 -1.051286434199052e+01
0.000000000000000e+00 4.843750000000000e-01 2.159102510290721e-08 -1.072435685042399e+01
0.000000000000000e+00 5.000000000000000e-01 1.983430445075466e-08 -1.090449026104801e+01
0.000000000000000e+00 5.156250000000000e-01 1.808055615074819e-08 -1.105480002108408e+01
0.000000000000000e+00 5.312500000000000e-01 1.634662106783185e-08 -1.117690842400222e+01
0.000000000000000e+00 5.468750000000000e-01 1.465035661157321e-08 -1.127252596973891e+01
0.000000000000000e+00 5.625000000000000e-01 1.300904692031378e-08 -1.134343962536078e+01
0.000000000000000e+00 5.781250000000000e-01 1.143839583451627e-08 -1.139149051890821e+01
0.000000000000000e+00 5.937500000000000e-01 9.951989073359492e-09 -1.141854486109319e+01
0.000000000000000e+00 6.093750000000000e-01 8.561096385086581e-09 -1.142646230597479e+01
0.000000000000000e+00 6.250000000000000e-01 7.274672014906876e-09 -1.141706581286622e+01
0.000000000000000e+00 6.406250000000000e-01 6.099424398781406e-09 -1.139211637370925e+01
0.000000000000000e+00 6.562500000000000e-01 5.039864418204833e-09 -1.135329481464419e+01
0.000000000000000e+00 6.718750000000000e-01 4.098293773903514e-09 -1.130219151468235e+01
0.000000000000000e+00 6.875000000000000e-01 3.274745096907041e-09 -1.124030362222699e+01
