chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 4.473593600250607e-07 -6.905671033007315e-01
0.000000000000000e+00 1.562500000000000e-02 4.461814454885329e-07 -7.812212703214808e-01
0.000000000000000e+00 3.125000000000000e-02 4.427423784695816e-07 -1.047955683957839e+00
0.000000000000000e+00 4.687500000000000e-02 4.372362118309930e-07 -1.476003465475583e+00
0.000000000000000e+00 6.250000000000000e-02 4.297363143633313e-07 -2.043542433199085e+00
0.000000000000000e+00 7.812500000000000e-02 4.199789951924372e-07 -2.725054049489307e+00
0.000000000000000e+00 9.375000000000000e-02 4.073050990364678e-07 -3.494701841607545e+00
0.000000000000000e+00 1.093750000000000e-01 3.908322269966632e-07 -4.328986356248123e+00
0.000000000000000e+00 1.250000000000000e-01 3.697903666733499e-07 -5.208288557316378e+00
0.000000000000000e+00 1.406250000000000e-01 3.438637548584942e-07 -6.117356963706174e+00
0.000000000000000e+00 1.562500000000000e-01 3.133986845766712e-07 -7.045090789329950e+00
0.000000000000000e+00 1.718750000000000e-01 2.794205390542202e-07 -7.984015620931830e+00
0.000000000000000e+00 1.875000000000000e-01 2.434840909693522e-07 -8.929725923781106e+00
0.000000000000000e+00 2.031250000000000e-01 2.074245002731684e-07 -9.880409989138721e+00
0.000000000000000e+00 2.187500000000000e-01 1.730837922734784e-07 -1.083642856811803e+01
0.000000000000000e+00 2.343750000000000e-01 1.420715661846072e-07 -1.179975555387833e+01
0.000000000000000e+00 2.500000000000000e-01 1.155898166116367e-07 -1.277285618743355e+01
0.000000000000000e+00 2.656250000000000e-01 9.431953956632739e-08 -1.375638355506264e+01
0.000000000000000e+00 2.812500000000000e-01 7.835007404144823e-08 -1.474557593669751e+01
0.000000000000000e+00 2.968750000000000e-01 6.716327525363377e-08 -1.572742608348405e+01
0.000000000000000e+00 3.125000000000000e-01 5.975123787335271e-08 -1.668276361117004e+01
0.000000000000000e+00 3.281250000000000e-01 5.491066537167387e-08 -1.759355261879228e+01
0.000000000000000e+00 3.437500000000000e-01 5.157318805659445e-08 -1.844881163562889e+01
0.000000000000000e+00 3.593750000000000e-01 4.897654919140290e-08 -1.924470278162462e+01
0.000000000000000e+00 3.750000000000000e-01 4.665415105487818e-08 -1.998143677367878e+01
0.000000000000000e+00 3.906250000000000e-01 4.434702675183881e-08 -2.066063789154713e+01
0.000000000000000e+00 4.062500000000000e-01 4.192143728648230e-08 -2.128411914185747e+01
0.000000000000000e+00 4.218750000000000e-01 3.931694319158495e-08 -2.185356481654228e+01
0.000000000000000e+00 4.375000000000000e-01 3.651939429712563e-08 -2.237055896381530e+01
0.000000000000000e+00 4.531250000000000e-01 3.354734332048602e-08 -2.283667582240223e+01
0.000000000000000e+00 4.687500000000000e-01 3.044357227377225e-08 -2.325354188400005e+01
0.000000000000000e+00 4.843750000000000e-01 2.726765927858303e-08 -2.362286143937835e+01
0.000000000000000e+00 5.000000000000000e-01 2.408841421627508e-08 -2.394641929298378e+01
0.000000000000000e+00 5.156250000000000e-01 2.097645906237108e-08 -2.422607360688095e+01
0.000000000000000e+00 5.312500000000000e-01 1.799768252975881e-08 -2.446374621585858e+01
0.000000000000000e+00 5.468750000000000e-01 1.520821014308142e-08 -2.466141319238415e+01
0.000000000000000e+00 5.625000000000000e-01 1.265121863888222e-08 -2.482109596047550e+01
0.000000000000000e+00 5.781250000000000e-01 1.035558439311742e-08 -2.494485238747225e+01
0.000000000000000e+00 5.937500000000000e-01 8.336095035578507e-09 -2.503476734440874e+01
0.000000000000000e+00 6.093750000000000e-01 6.594811142018785e-09 -2.509294268454076e+01
0.000000000000000e+00 6.250000000000000e-01 5.123135437214651e-09 -2.512148708800542e+01
0.000000000000000e+00 6.406250000000000e-01 3.904199167803631e-09 -2.512250655012209e+01
0.000000000000000e+00 6.562500000000000e-01 2.915269724865437e-09 -2.509809636683669e+01
0.000000000000000e+00 6.718750000000000e-01 2.129985388555699e-09 -2.505033530753261e+01
0.000000000000000e+00 6.875000000000000e-01 1.520309247441307e-09 -2.498128234323146e+01
0.000000000000000e+00 7.031250000000000e-01 1.058155216355142e-09 -2.489297592288667e+01
0.000000000000000e+00 7.187500000000000e-01 7.166755102972560e-10 -2.478743545613847e+01
0.000000000000000e+00 7.343750000000000e-01 4.712177477900874e-10 -2.466666442635292e+01
0.000000000000000e+00 7.500000000000000e-01 2.999693242248860e-10 -2.453265444087743e+01
0.000000000000000e+00 7.656250000000000e-01 1.843134038103644e-10 -2.438738951169125e+01
0.000000000000000e+00 7.812500000000000e-01 1.089283420506737e-10 -2.423284991689776e+01
0.000000000000000e+00 7.968750000000000e-01 6.167106717643463e-11 -2.407101508612124e+01
0.000000000000000e+00 8.125000000000000e-01 3.329334878255456e-11 -2.390386505063874e+01
0.000000000000000e+00 8.281250000000000e-01 1.704559161989138e-11 -2.373338008105299e+01
0.000000000000000e+00 8.437500000000000e-01 8.223780095442218e-12 -2.356153818932248e+01
0.000000000000000e+00 8.593750000000000e-01 3.710541076009914e-12 -2.339031019224829e+01
0.000000000000000e+00 8.750000000000000e-01 1.551461305244097e-12 -2.322165201756713e+01
0.000000000000000e+00 8.906250000000000e-01 5.944906183065433e-13 -2.305749387960172e+01
0.000000000000000e+00 9.062500000000000e-01 2.059032968889821e-13 -2.289972585480998e+01
0.000000000000000e+00 9.218750000000000e-01 6.335191996498752e-14 -2.275017923994035e+01
0.000000000000000e+00 9.375000000000000e-01 1.693379946691857e-14 -2.261060286039279e+01
0.000000000000000e+00 9.531250000000000e-01 3.818679486438639e-15 -2.248263318453812e+01
0.000000000000000e+00 9.687500000000000e-01 6.982254116733493e-16 -2.236775663937097e+01
0.000000000000000e+00 9.843750000000000e-01 9.790766794897873e-17 -2.226726182018319e+01
0.000000000000000e+00 1.000000000000000e+00 9.702674553362224e-18 -2.218217816426083e+01
1.562500000000000e-02 0.000000000000000e+00 4.466876891544082e-07 -7.472071914064075e-01
1.562500000000000e-02 1.562500000000000e-02 4.455169535603293e-07 -8.373103085369995e-01
1.562500000000000e-02 3.125000000000000e-02 4.420945156564837e-07 -1.102449289742913e+00
1.562500000000000e-02 4.687500000000000e-02 4.366014933939257e-07 -1.528018264200381e+00
1.562500000000000e-02 6.250000000000000e-02 4.290955740423198e-07 -2.092427241400738e+00
1.562500000000000e-02 7.812500000000000e-02 4.193020972061922e-07 -2.770418594922748e+00
1.562500000000000e-02 9.375000000000000e-02 4.065617740138108e-07 -3.536403048072765e+00
1.562500000000000e-02 1.093750000000000e-01 3.900040457667255e-07 -4.367082319196430e+00
1.562500000000000e-02 1.250000000000000e-01 3.688783719232819e-07 -5.242977681914741e+00
1.562500000000000e-02 1.406250000000000e-01 3.428892183124926e-07 -6.148919792453766e+00
1.562500000000000e-02 1.562500000000000e-01 3.123980338863925e-07 -7.073845150921632e+00
1.562500000000000e-02 1.718750000000000e-01 2.784373467131787e-07 -8.010287481116514e+00
1.562500000000000e-02 1.875000000000000e-01 2.425609732501278e-07 -8.953833084899962e+00
1.562500000000000e-02 2.031250000000000e-01 2.065968041382210e-07 -9.902653802871368e+00
1.562500000000000e-02 2.187500000000000e-01 1.723758584382725e-07 -1.085708813577144e+01
1.562500000000000e-02 2.343750000000000e-01 1.414954768021461e-07 -1.181907766875150e+01
1.562500000000000e-02 2.500000000000000e-01 1.151459365526982e-07 -1.279103264335625e+01
1.562500000000000e-02 2.656250000000000e-01 9.399792195815117e-08 -1.377351118636501e+01
1.562500000000000e-02 2.812500000000000e-01 7.813220002389009e-08 -1.476161766377659e+01
1.562500000000000e-02 2.968750000000000e-01 6.702472480460113e-08 -1.574222829242208e+01
1.562500000000000e-02 3.125000000000000e-01 5.966626377119183e-08 -1.669616140746942e+01
1.562500000000000e-02 3.281250000000000e-01 5.485741140350319e-08 -1.760548111043511e+01
1.562500000000000e-02 3.437500000000000e-01 5.153648885187753e-08 -1.845932398100367e+01
1.562500000000000e-02 3.593750000000000e-01 4.894746488516316e-08 -1.925391809923602e+01
1.562500000000000e-02 3.750000000000000e-01 4.662799839112863e-08 -1.998948924323370e+01
1.562500000000000e-02 3.906250000000000e-01 4.432156486244229e-08 -2.066765257639128e+01
1.562500000000000e-02 4.062500000000000e-01 4.189572126453053e-08 -2.129020632471086e+01
1.562500000000000e-02 4.218750000000000e-01 3.929072115159831e-08 -2.185882144300454e+01
1.562500000000000e-02 4.375000000000000e-01 3.649280822558217e-08 -2.237507134961159e+01
1.562500000000000e-02 4.531250000000000e-01 3.352076592031488e-08 -2.284052179673995e+01
1.562500000000000e-02 4.687500000000000e-01 3.041749668457052e-08 -2.325679219328973e+01
1.562500000000000e-02 4.843750000000000e-01 2.724261165315263e-08 -2.362558065360787e+01
1.562500000000000e-02 5.000000000000000e-01 2.406488359810327e-08 -2.394866644434061e+01
1.562500000000000e-02 5.156250000000000e-01 2.095484651751682e-08 -2.422790269441493e+01
1.562500000000000e-02 5.312500000000000e-01 1.797827120793687e-08 -2.446520663626834e+01
1.562500000000000e-02 5.468750000000000e-01 1.519115522236829e-08 -2.466255011829901e+01
1.562500000000000e-02 5.625000000000000e-01 1.263655355050102e-08 -2.482195067285610e+01
1.562500000000000e-02 5.781250000000000e-01 1.034323830775525e-08 -2.494546256613135e+01
1.562500000000000e-02 5.937500000000000e-01 8.325916421693183e-09 -2.503516732239710e+01
1.562500000000000e-02 6.093750000000000e-01 6.586592959112700e-09 -2.509316367418225e+01
1.562500000000000e-02 6.250000000000000e-01 5.116638753672106e-09 -2.512155738694743e+01
1.562500000000000e-02 6.406250000000000e-01 3.899173289261975e-09 -2.512245173463015e+01
1.562500000000000e-02 6.562500000000000e-01 2.911468015220794e-09 -2.509793947718435e+01
1.562500000000000e-02 6.718750000000000e-01 2.127176740733933e-09 -2.505009702754675e+01
1.562500000000000e-02 6.875000000000000e-01 1.518285614928010e-09 -2.498098117359093e+01
1.562500000000000e-02 7.031250000000000e-01 1.056735819033053e-09 -2.489262834614740e+01
1.562500000000000e-02 7.187500000000000e-01 7.157083714736358e-10 -2.478705609080527e+01
1.562500000000000e-02 7.343750000000000e-01 4.705791836094313e-10 -2.466626616751739e+01
1.562500000000000e-02 7.500000000000000e-01 2.995619448950099e-10 -2.453224858569449e+01
1.562500000000000e-02 7.656250000000000e-01 1.840631231258607e-10 -2.438698586897589e+01
1.562500000000000e-02 7.812500000000000e-01 1.087808323224545e-10 -2.423245690112775e+01
1.562500000000000e-02 7.968750000000000e-01 6.158803580851358e-11 -2.407063979698166e+01
1.562500000000000e-02 8.125000000000000e-01 3.324894421388395e-11 -2.390351333987507e+01
1.562500000000000e-02 8.281250000000000e-01 1.702316807946904e-11 -2.373305660882519e+01
1.562500000000000e-02 8.437500000000000e-01 8.213166096897449e-12 -2.356124647250115e+01
1.562500000000000e-02 8.593750000000000e-01 3.705873578361381e-12 -2.339005264723752e+01
1.562500000000000e-02 8.750000000000000e-01 1.549575255844718e-12 -2.322143000033727e+01
1.562500000000000e-02 8.906250000000000e-01 5.937999185934923e-13 -2.305730772570477e+01
1.562500000000000e-02 9.062500000000000e-01 2.056781082244133e-13 -2.289957492232161e+01
1.562500000000000e-02 9.218750000000000e-01 6.328809967985038e-14 -2.275006195852967e+01
1.562500000000000e-02 9.375000000000000e-01 1.691859638171704e-14 -2.261051679017130e+01
1.562500000000000e-02 9.531250000000000e-01 3.815787487474628e-15 -2.248257508902117e+01
1.562500000000000e-02 9.687500000000000e-01 6.978241425050697e-16 -2.236772257796853e+01
1.562500000000000e-02 9.843750000000000e-01 9.787514898786552e-17 -2.226724726730816e+01
1.562500000000000e-02 1.000000000000000e+00 9.702674886408835e-18 -2.218217816481156e+01
3.125000000000000e-02 0.000000000000000e+00 4.446890170353698e-07 -9.152531948065425e-01
3.125000000000000e-02 1.562500000000000e-02 4.435370949451440e-07 -1.003737962983404e+00
3.125000000000000e-02 3.125000000000000e-02 4.401569210536214e-07 -1.264190537334382e+00
3.125000000000000e-02 4.687500000000000e-02 4.346925210524585e-07 -1.682475766416040e+00
3.125000000000000e-02 6.250000000000000e-02 4.271573103342284e-07 -2.237682955413715e+00
3.125000000000000e-02 7.812500000000000e-02 4.172467993989096e-07 -2.905318075126735e+00
3.125000000000000e-02 9.375000000000000e-02 4.043034895564670e-07 -3.660515527434893e+00
3.125000000000000e-02 1.093750000000000e-01 3.874928344733010e-07 -4.480566726089187e+00
3.125000000000000e-02 1.250000000000000e-01 3.661216075739726e-07 -5.346405793848032e+00
3.125000000000000e-02 1.406250000000000e-01 3.399530310521083e-07 -6.243107201170167e+00
3.125000000000000e-02 1.562500000000000e-01 3.093920797609617e-07 -7.159720567113657e+00
3.125000000000000e-02 1.718750000000000e-01 2.754912637700164e-07 -8.088807258964462e+00
3.125000000000000e-02 1.875000000000000e-01 2.398007201057913e-07 -9.025932841046640e+00
3.125000000000000e-02 2.031250000000000e-01 2.041262918503664e-07 -9.969223149984231e+00
3.125000000000000e-02 2.187500000000000e-01 1.702661418984621e-07 -1.091895224527910e+01
3.125000000000000e-02 2.343750000000000e-01 1.397812104118240e-07 -1.187696546821622e+01
3.125000000000000e-02 2.500000000000000e-01 1.138270438176540e-07 -1.284550668094183e+01
