chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 3.266909518699036e-06 -6.976919694191340e-01
0.000000000000000e+00 1.562500000000000e-02 3.260487171798334e-06 -7.881150905574064e-01
0.000000000000000e+00 3.125000000000000e-02 3.241736792451298e-06 -1.054197601847963e+00
0.000000000000000e+00 4.687500000000000e-02 3.211650153880966e-06 -1.481297083488233e+00
0.000000000000000e+00 6.250000000000000e-02 3.170313379026961e-06 -2.047788632343670e+00
0.000000000000000e+00 7.812500000000000e-02 3.115506623247933e-06 -2.728382122130744e+00
0.000000000000000e+00 9.375000000000000e-02 3.042250078089642e-06 -3.497433207417016e+00
0.000000000000000e+00 1.093750000000000e-01 2.943819026622596e-06 -4.331540867345396e+00
0.000000000000000e+00 1.250000000000000e-01 2.813904094536353e-06 -5.211073352674122e+00
0.000000000000000e+00 1.406250000000000e-01 2.648972338268383e-06 -6.120671799175726e+00
0.000000000000000e+00 1.562500000000000e-01 2.449892840856791e-06 -7.049052720916475e+00
0.000000000000000e+00 1.718750000000000e-01 2.222357253672083e-06 -7.988477669713085e+00
0.000000000000000e+00 1.875000000000000e-01 1.976143389840931e-06 -8.934150006407570e+00
0.000000000000000e+00 2.031250000000000e-01 1.723592862375347e-06 -9.883649337724458e+00
0.000000000000000e+00 2.187500000000000e-01 1.477772132302974e-06 -1.083637906884952e+01
0.000000000000000e+00 2.343750000000000e-01 1.250720406121219e-06 -1.179287602958351e+01
0.000000000000000e+00 2.500000000000000e-01 1.052025765996668e-06 -1.275371133909082e+01
0.000000000000000e+00 2.656250000000000e-01 8.877898114664522e-07 -1.371771721084504e+01
0.000000000000000e+00 2.812500000000000e-01 7.599634122162522e-07 -1.467975292453522e+01
0.000000000000000e+00 2.968750000000000e-01 6.661910485693256e-07 -1.562937680392397e+01
0.000000000000000e+00 3.125000000000000e-01 6.005431163168601e-07 -1.655239397908767e+01
0.000000000000000e+00 3.281250000000000e-01 5.552627534421734e-07 -1.743512781962140e+01
0.000000000000000e+00 3.437500000000000e-01 5.228205487618728e-07 -1.826816306250069e+01
0.000000000000000e+00 3.593750000000000e-01 4.972581552800920e-07 -1.904705818376832e+01
0.000000000000000e+00 3.750000000000000e-01 4.745029578266655e-07 -1.977084623904765e+01
0.000000000000000e+00 3.906250000000000e-01 4.520526386551284e-07 -2.044027458696614e+01
0.000000000000000e+00 4.062500000000000e-01 4.285115568945915e-07 -2.105670259192754e+01
0.000000000000000e+00 4.218750000000000e-01 4.032178782750361e-07 -2.162162495845788e+01
0.000000000000000e+00 4.375000000000000e-01 3.760010222692264e-07 -2.213653485331304e+01
0.000000000000000e+00 4.531250000000000e-01 3.470312125255902e-07 -2.260291605558668e+01
0.000000000000000e+00 4.687500000000000e-01 3.167166281339653e-07 -2.302226448614250e+01
0.000000000000000e+00 4.843750000000000e-01 2.856202895856753e-07 -2.339610626469200e+01
0.000000000000000e+00 5.000000000000000e-01 2.543854796580804e-07 -2.372600743765875e+01
0.000000000000000e+00 5.156250000000000e-01 2.236687141689337e-07 -2.401357832270978e+01
0.000000000000000e+00 5.312500000000000e-01 1.940833814699634e-07 -2.426047555336742e+01
0.000000000000000e+00 5.468750000000000e-01 1.661573386332188e-07 -2.446840327988783e+01
0.000000000000000e+00 5.625000000000000e-01 1.403060566928746e-07 -2.463911366782924e+01
0.000000000000000e+00 5.781250000000000e-01 1.168207889888368e-07 -2.477440624066574e+01
0.000000000000000e+00 5.937500000000000e-01 9.586951246701033e-08 -2.487612558902063e+01
0.000000000000000e+00 6.093750000000000e-01 7.750739946330677e-08 -2.494615726330352e+01
0.000000000000000e+00 6.250000000000000e-01 6.169333401362618e-08 -2.498642206058585e+01
0.000000000000000e+00 6.406250000000000e-01 4.830932568069538e-08 -2.499886925574423e+01
0.000000000000000e+00 6.562500000000000e-01 3.718035540732227e-08 -2.498546952054359e+01
0.000000000000000e+00 6.718750000000000e-01 2.809297900034222e-08 -2.494820829134639e+01
0.000000000000000e+00 6.875000000000000e-01 2.081173772831695e-08 -2.488908020614505e+01
0.000000000000000e+00 7.031250000000000e-01 1.509298143077943e-08 -2.481008498873264e+01
0.000000000000000e+00 7.187500000000000e-01 1.069606864796404e-08 -2.471322487931839e+01
0.000000000000000e+00 7.343750000000000e-01 7.392094363432899e-09 -2.460050345669632e+01
0.000000000000000e+00 7.500000000000000e-01 4.970360598492433e-09 -2.447392550618102e+01
0.000000000000000e+00 7.656250000000000e-01 3.242805301454833e-09 -2.433549747403919e+01
0.000000000000000e+00 7.812500000000000e-01 2.046587648329423e-09 -2.418722800635440e+01
0.000000000000000e+00 7.968750000000000e-01 1.245022364934857e-09 -2.403112807897864e+01
0.000000000000000e+00 8.125000000000000e-01 7.270729981535499e-10 -2.386921026214599e+01
0.000000000000000e+00 8.281250000000000e-01 4.056504388425267e-10 -2.370348670722320e+01
0.000000000000000e+00 8.437500000000000e-01 2.150055436170421e-10 -2.353596547750134e+01
0.000000000000000e+00 8.593750000000000e-01 1.075374131525353e-10 -2.336864485873129e+01
0.000000000000000e+00 8.750000000000000e-01 5.034787033100426e-11 -2.320350527072522e+01
0.000000000000000e+00 8.906250000000000e-01 2.184994328855900e-11 -2.304249835306101e+01
0.000000000000000e+00 9.062500000000000e-01 8.683517513144539e-12 -2.288753270898997e+01
0.000000000000000e+00 9.218750000000000e-01 3.112338032086849e-12 -2.274045565196012e+01
0.000000000000000e+00 9.375000000000000e-01 9.865388535043596e-13 -2.260303009151019e+01
0.000000000000000e+00 9.531250000000000e-01 2.695213947598846e-13 -2.247690538992810e+01
0.000000000000000e+00 9.687500000000000e-01 6.129038760228824e-14 -2.236358056611963e+01
0.000000000000000e+00 9.843750000000000e-01 1.104840180570489e-14 -2.226435752461583e+01
0.000000000000000e+00 1.000000000000000e+00 1.469637736031646e-15 -2.218028086776772e+01
1.562500000000000e-02 0.000000000000000e+00 3.263425054016239e-06 -7.542003498913320e-01
1.562500000000000e-02 1.562500000000000e-02 3.257036617863191e-06 -8.440762504376862e-01
1.562500000000000e-02 3.125000000000000e-02 3.238358231223419e-06 -1.108575004725218e+00
1.562500000000000e-02 4.687500000000000e-02 3.208302539690391e-06 -1.533215107299180e+00
1.562500000000000e-02 6.250000000000000e-02 3.166857733830543e-06 -2.096602181432613e+00
1.562500000000000e-02 7.812500000000000e-02 3.111732312226214e-06 -2.773703317447829e+00
1.562500000000000e-02 9.375000000000000e-02 3.037940866979203e-06 -3.539116788120968e+00
1.562500000000000e-02 1.093750000000000e-01 2.938830591922516e-06 -4.369639128089412e+00
1.562500000000000e-02 1.250000000000000e-01 2.808218593439532e-06 -5.245777209034405e+00
1.562500000000000e-02 1.406250000000000e-01 2.642711036693257e-06 -6.152254112023022e+00
1.562500000000000e-02 1.562500000000000e-01 2.443289665039180e-06 -7.077823790929533e+00
1.562500000000000e-02 1.718750000000000e-01 2.215709451496407e-06 -8.014755347638783e+00
1.562500000000000e-02 1.875000000000000e-01 1.969757349314899e-06 -8.958241911880350e+00
1.562500000000000e-02 2.031250000000000e-01 1.717738335645939e-06 -9.905842678711613e+00
1.562500000000000e-02 2.187500000000000e-01 1.472651565194276e-06 -1.085693306928430e+01
1.562500000000000e-02 2.343750000000000e-01 1.246454259545242e-06 -1.181201181547422e+01
1.562500000000000e-02 2.500000000000000e-01 1.048650616400922e-06 -1.277159484601348e+01
1.562500000000000e-02 2.656250000000000e-01 8.852645012156037e-07 -1.373443579606269e+01
1.562500000000000e-02 2.812500000000000e-01 7.581807367951627e-07 -1.469530018401828e+01
1.562500000000000e-02 2.968750000000000e-01 6.649973491104523e-07 -1.564367325663155e+01
1.562500000000000e-02 3.125000000000000e-01 5.997683580381900e-07 -1.656535170014116e+01
1.562500000000000e-02 3.281250000000000e-01 5.547535635304294e-07 -1.744671633285387e+01
1.562500000000000e-02 3.437500000000000e-01 5.224611645820298e-07 -1.827842754020314e+01
1.562500000000000e-02 3.593750000000000e-01 4.969731521072815e-07 -1.905609478304960e+01
1.562500000000000e-02 3.750000000000000e-01 4.742486053286052e-07 -1.977876975466920e+01
1.562500000000000e-02 3.906250000000000e-01 4.518061078533432e-07 -2.044719820908988e+01
1.562500000000000e-02 4.062500000000000e-01 4.282625883918098e-07 -2.106272996558348e+01
1.562500000000000e-02 4.218750000000000e-01 4.029635192552214e-07 -2.162684885766084e+01
1.562500000000000e-02 4.375000000000000e-01 3.757425405590916e-07 -2.214103822028875e+01
1.562500000000000e-02 4.531250000000000e-01 3.467722387632504e-07 -2.260677344931989e+01
1.562500000000000e-02 4.687500000000000e-01 3.164619271361642e-07 -2.302554332608594e+01
1.562500000000000e-02 4.843750000000000e-01 2.853748754855212e-07 -2.339886779326504e+01
1.562500000000000e-02 5.000000000000000e-01 2.541539700385503e-07 -2.372830746829289e+01
1.562500000000000e-02 5.156250000000000e-01 2.234548928069928e-07 -2.401546784342431e+01
1.562500000000000e-02 5.312500000000000e-01 1.938899544536465e-07 -2.426200122948930e+01
1.562500000000000e-02 5.468750000000000e-01 1.659858601121644e-07 -2.446960787839702e+01
